구분,질문,답변
성북동1가/전세/보증금,성북동1가 전세 보증금 가장싼 낮은 저렴,성북동1가의 (전세)거래내역이 없습니다
연남동/전세/보증금,연남동 전세 보증금 가장싼 낮은 저렴,연남동의 (전세)거래내역이 없습니다
평창동/전세/보증금,평창동 전세 보증금 가장싼 낮은 저렴,평창동의 (전세)거래내역이 없습니다
동소문동6가/전세/보증금,동소문동6가 전세 보증금 가장싼 낮은 저렴,동소문동6가의 (전세)거래내역이 없습니다
냉천동/전세/보증금,냉천동 전세 보증금 가장싼 낮은 저렴,냉천동의 (전세)거래내역이 없습니다
광희동1가/전세/보증금,광희동1가 전세 보증금 가장싼 낮은 저렴,광희동1가의 (전세)거래내역이 없습니다
행촌동/전세/보증금,행촌동 전세 보증금 가장싼 낮은 저렴,행촌동의 (전세)거래내역이 없습니다
흥인동/전세/보증금,흥인동 전세 보증금 가장싼 낮은 저렴,흥인동의 (전세)거래내역이 없습니다
동교동/전세/보증금,동교동 전세 보증금 가장싼 낮은 저렴,동교동의 (전세)거래내역이 없습니다
누하동/전세/보증금,누하동 전세 보증금 가장싼 낮은 저렴,누하동의 (전세)거래내역이 없습니다
만리동1가/전세/보증금,만리동1가 전세 보증금 가장싼 낮은 저렴,만리동1가의 (전세)거래내역이 없습니다
부암동/전세/보증금,부암동 전세 보증금 가장싼 낮은 저렴,부암동의 (전세)거래내역이 없습니다
누상동/전세/보증금,누상동 전세 보증금 가장싼 낮은 저렴,누상동의 (전세)거래내역이 없습니다
한강로2가/전세/보증금,한강로2가 전세 보증금 가장싼 낮은 저렴,한강로2가의 (전세)거래내역이 없습니다
창천동/전세/보증금,창천동 전세 보증금 가장싼 낮은 저렴,창천동의 (전세)거래내역이 없습니다
충정로2가/전세/보증금,충정로2가 전세 보증금 가장싼 낮은 저렴,충정로2가의 (전세)거래내역이 없습니다
서빙고동/전세/보증금,서빙고동 전세 보증금 가장싼 낮은 저렴,서빙고동의 (전세)거래내역이 없습니다
보문동2가/전세/보증금,보문동2가 전세 보증금 가장싼 낮은 저렴,보문동2가의 (전세)거래내역이 없습니다
하중동/전세/보증금,하중동 전세 보증금 가장싼 낮은 저렴,하중동의 (전세)거래내역이 없습니다
보문동7가/전세/보증금,보문동7가 전세 보증금 가장싼 낮은 저렴,보문동7가의 (전세)거래내역이 없습니다
장충동1가/전세/보증금,장충동1가 전세 보증금 가장싼 낮은 저렴,장충동1가의 (전세)거래내역이 없습니다
필동1가/전세/보증금,필동1가 전세 보증금 가장싼 낮은 저렴,필동1가의 (전세)거래내역이 없습니다
합동/전세/보증금,합동 전세 보증금 가장싼 낮은 저렴,합동의 (전세)거래내역이 없습니다
구수동/전세/보증금,구수동 전세 보증금 가장싼 낮은 저렴,구수동의 (전세)거래내역이 없습니다
충무로3가/전세/보증금,충무로3가 전세 보증금 가장싼 낮은 저렴,충무로3가의 (전세)거래내역이 없습니다
삼선동4가/전세/보증금,삼선동4가 전세 보증금 가장싼 낮은 저렴,삼선동4가의 (전세)거래내역이 없습니다
충무로5가/전세/보증금,충무로5가 전세 보증금 가장싼 낮은 저렴,충무로5가의 (전세)거래내역이 없습니다
가락동/전세/보증금,가락동 전세 보증금 가장싼 낮은 저렴,가락동에서 보증금이 가장싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 13500만원 전세로 거래되었습니다.
문정동/전세/보증금,문정동 전세 보증금 가장싼 낮은 저렴,문정동에서 보증금이 가장싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 13000만원 전세로 거래되었습니다.
상계동/전세/보증금,상계동 전세 보증금 가장싼 낮은 저렴,상계동에서 보증금이 가장싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 9500만원 전세로 거래되었습니다.
방배동/전세/보증금,방배동 전세 보증금 가장싼 낮은 저렴,방배동에서 보증금이 가장싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 13000만원 전세로 거래되었습니다.
시흥동/전세/보증금,시흥동 전세 보증금 가장싼 낮은 저렴,시흥동에서 보증금이 가장싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 8000만원 전세로 거래되었습니다.
고척동/전세/보증금,고척동 전세 보증금 가장싼 낮은 저렴,고척동에서 보증금이 가장싸게 거래된 내역은 m²(임대면적) 기준으로 보증금 14000만원 전세로 거래되었습니다.
